distance_m,confidence,sido,sigungu,cw_uid,sg_uid
26.157,0.128089,대전광역시,대덕구,CW_000073,SG_002556
26.157,0.128089,대전광역시,대덕구,CW_000073,SG_006027
26.157,0.128089,대전광역시,대덕구,CW_013999,SG_002556
26.157,0.128089,대전광역시,대덕구,CW_013999,SG_006027
26.157,0.128089,대전광역시,대덕구,CW_018889,SG_002556
26.157,0.128089,대전광역시,대덕구,CW_018889,SG_006027
26.157,0.128089,대전광역시,대덕구,CW_019984,SG_002556
26.157,0.128089,대전광역시,대덕구,CW_019984,SG_006027
26.157,0.128089,대전광역시,대덕구,CW_032615,SG_002556
26.157,0.128089,대전광역시,대덕구,CW_032615,SG_006027
4.41,0.852996,대전광역시,대덕구,CW_000076,SG_000287
4.41,0.852996,대전광역시,대덕구,CW_000076,SG_000288
4.41,0.852996,대전광역시,대덕구,CW_000076,SG_000289
4.41,0.852996,대전광역시,대덕구,CW_000076,SG_000290
4.41,0.852996,대전광역시,대덕구,CW_000076,SG_004782
4.41,0.852996,대전광역시,대덕구,CW_000076,SG_004783
4.41,0.852996,대전광역시,대덕구,CW_000076,SG_005073
4.41,0.852996,대전광역시,대덕구,CW_000076,SG_005480
4.41,0.852996,대전광역시,대덕구,CW_000076,SG_015161
4.41,0.852996,대전광역시,대덕구,CW_014002,SG_000287
4.41,0.852996,대전광역시,대덕구,CW_014002,SG_000288
4.41,0.852996,대전광역시,대덕구,CW_014002,SG_000289
4.41,0.852996,대전광역시,대덕구,CW_014002,SG_000290
4.41,0.852996,대전광역시,대덕구,CW_014002,SG_004782
4.41,0.852996,대전광역시,대덕구,CW_014002,SG_004783
4.41,0.852996,대전광역시,대덕구,CW_014002,SG_005073
4.41,0.852996,대전광역시,대덕구,CW_014002,SG_005480
4.41,0.852996,대전광역시,대덕구,CW_014002,SG_015161
4.41,0.852996,대전광역시,대덕구,CW_018892,SG_000287
4.41,0.852996,대전광역시,대덕구,CW_018892,SG_000288
4.41,0.852996,대전광역시,대덕구,CW_018892,SG_000289
4.41,0.852996,대전광역시,대덕구,CW_018892,SG_000290
4.41,0.852996,대전광역시,대덕구,CW_018892,SG_004782
4.41,0.852996,대전광역시,대덕구,CW_018892,SG_004783
4.41,0.852996,대전광역시,대덕구,CW_018892,SG_005073
4.41,0.852996,대전광역시,대덕구,CW_018892,SG_005480
4.41,0.852996,대전광역시,대덕구,CW_018892,SG_015161
4.41,0.852996,대전광역시,대덕구,CW_019987,SG_000287
4.41,0.852996,대전광역시,대덕구,CW_019987,SG_000288
4.41,0.852996,대전광역시,대덕구,CW_019987,SG_000289
4.41,0.852996,대전광역시,대덕구,CW_019987,SG_000290
4.41,0.852996,대전광역시,대덕구,CW_019987,SG_004782
4.41,0.852996,대전광역시,대덕구,CW_019987,SG_004783
