sido,sigungu,address,crosswalk_type,is_highland,crosswalk_lat,crosswalk_lon,lane_count,crosswalk_width,crosswalk_length,has_ped_signal,has_ped_button,has_ped_sound,has_bump,has_braille_block,has_spotlight,org_code,cw_uid
부산광역시,해운대구,부산광역시 해운대구 중동  1372-16,,,129.1653682,35.16232073,,6,23,1,,,,,,,CW_BUSAN_000001
부산광역시,해운대구,부산광역시 해운대구 중동  1372-16,,,129.1650651,35.16213038,,11,16,1,,,,,,,CW_BUSAN_000002
부산광역시,사하구,부산광역시 사하구 신평동  452-5,,,128.9623057,35.09467774,,8,20,1,,,,,,,CW_BUSAN_000003
부산광역시,해운대구,부산광역시 해운대구 중동  1372-16,,,129.1653443,35.16213966,,8,30,1,,,,,,,CW_BUSAN_000004
부산광역시,기장군,부산광역시 기장군 장안읍  산1-1,,,129.3028907,35.34049369,,4,12,1,,,,,,,CW_BUSAN_000005
부산광역시,기장군,부산광역시 기장군 장안읍  산1-1,,,129.3029174,35.34064472,,6,13,1,,,,,,,CW_BUSAN_000006
부산광역시,기장군,부산광역시 기장군 장안읍  산1-1,,,129.3027384,35.34065386,,6,14,1,,,,,,,CW_BUSAN_000007
부산광역시,기장군,부산광역시 기장군 철마면  1008-52,,,129.1232316,35.33577368,,8,17,1,,,,,,,CW_BUSAN_000008
부산광역시,강서구,부산광역시 강서구 강동동  661-1,,,128.9285118,35.22107583,,8,36,1,,,,,,,CW_BUSAN_000009
부산광역시,기장군,부산광역시 기장군 철마면  402-1,,,129.1096704,35.30963574,,6,14,1,,,,,,,CW_BUSAN_000010
부산광역시,금정구,부산광역시 금정구 두구동  산1,,,129.1080623,35.3077108,,6,21,1,,,,,,,CW_BUSAN_000011
부산광역시,기장군,부산광역시 기장군 철마면  1008-65,,,129.115651,35.32264558,,6,19,1,,,,,,,CW_BUSAN_000012
부산광역시,금정구,부산광역시 금정구 두구동  산1,,,129.107852,35.30759888,,7,27,1,,,,,,,CW_BUSAN_000013
부산광역시,금정구,부산광역시 금정구 두구동  산1,,,129.1079176,35.30740008,,6,17,1,,,,,,,CW_BUSAN_000014
부산광역시,금정구,부산광역시 금정구 두구동  1244-7,,,129.1074827,35.30667556,,6,16,1,,,,,,,CW_BUSAN_000015
부산광역시,금정구,부산광역시 금정구 노포동  산37-7,,,129.080752,35.30405423,,6,11,1,,,,,,,CW_BUSAN_000016
부산광역시,해운대구,부산광역시 해운대구 중동  1829,,,129.1691892,35.1617913,,,,1,,,,,,,CW_BUSAN_000017
