sido,sigungu,metric,unit,value,year,month,period_type
서울,종로구,사고,건,19,2022,1,month
서울,종로구,사망,명,0,2022,1,month
서울,종로구,부상,명,19,2022,1,month
서울,종로구,중상자,명,7,2022,1,month
서울,종로구,경상자,명,9,2022,1,month
서울,종로구,부상신고자,명,3,2022,1,month
서울,중구,사고,건,16,2022,1,month
서울,중구,사망,명,0,2022,1,month
서울,중구,부상,명,16,2022,1,month
서울,중구,중상자,명,8,2022,1,month
서울,중구,경상자,명,6,2022,1,month
서울,중구,부상신고자,명,2,2022,1,month
서울,용산구,사고,건,15,2022,1,month
서울,용산구,사망,명,0,2022,1,month
서울,용산구,부상,명,18,2022,1,month
서울,용산구,중상자,명,6,2022,1,month
서울,용산구,경상자,명,11,2022,1,month
서울,용산구,부상신고자,명,1,2022,1,month
서울,성동구,사고,건,13,2022,1,month
서울,성동구,사망,명,1,2022,1,month
서울,성동구,부상,명,12,2022,1,month
서울,성동구,중상자,명,2,2022,1,month
서울,성동구,경상자,명,9,2022,1,month
서울,성동구,부상신고자,명,1,2022,1,month
서울,동대문구,사고,건,24,2022,1,month
서울,동대문구,사망,명,0,2022,1,month
서울,동대문구,부상,명,24,2022,1,month
서울,동대문구,중상자,명,7,2022,1,month
서울,동대문구,경상자,명,17,2022,1,month
서울,동대문구,부상신고자,명,0,2022,1,month
서울,성북구,사고,건,17,2022,1,month
서울,성북구,사망,명,0,2022,1,month
서울,성북구,부상,명,17,2022,1,month
서울,성북구,중상자,명,10,2022,1,month
서울,성북구,경상자,명,7,2022,1,month
서울,성북구,부상신고자,명,0,2022,1,month
서울,도봉구,사고,건,11,2022,1,month
서울,도봉구,사망,명,0,2022,1,month
서울,도봉구,부상,명,11,2022,1,month
서울,도봉구,중상자,명,4,2022,1,month
서울,도봉구,경상자,명,7,2022,1,month
서울,도봉구,부상신고자,명,0,2022,1,month
서울,은평구,사고,건,22,2022,1,month
서울,은평구,사망,명,1,2022,1,month
서울,은평구,부상,명,21,2022,1,month
서울,은평구,중상자,명,10,2022,1,month
서울,은평구,경상자,명,10,2022,1,month
서울,은평구,부상신고자,명,1,2022,1,month
서울,서대문구,사고,건,24,2022,1,month
서울,서대문구,사망,명,1,2022,1,month
서울,서대문구,부상,명,25,2022,1,month
서울,서대문구,중상자,명,15,2022,1,month
서울,서대문구,경상자,명,9,2022,1,month
서울,서대문구,부상신고자,명,1,2022,1,month
서울,마포구,사고,건,12,2022,1,month
서울,마포구,사망,명,0,2022,1,month
서울,마포구,부상,명,16,2022,1,month
서울,마포구,중상자,명,5,2022,1,month
서울,마포구,경상자,명,10,2022,1,month
서울,마포구,부상신고자,명,1,2022,1,month
서울,강서구,사고,건,33,2022,1,month
서울,강서구,사망,명,1,2022,1,month
서울,강서구,부상,명,33,2022,1,month
서울,강서구,중상자,명,12,2022,1,month
서울,강서구,경상자,명,20,2022,1,month
서울,강서구,부상신고자,명,1,2022,1,month
서울,구로구,사고,건,26,2022,1,month
서울,구로구,사망,명,1,2022,1,month
서울,구로구,부상,명,26,2022,1,month
서울,구로구,중상자,명,13,2022,1,month
서울,구로구,경상자,명,13,2022,1,month
서울,구로구,부상신고자,명,0,2022,1,month
서울,영등포구,사고,건,39,2022,1,month
서울,영등포구,사망,명,1,2022,1,month
서울,영등포구,부상,명,39,2022,1,month
서울,영등포구,중상자,명,15,2022,1,month
서울,영등포구,경상자,명,21,2022,1,month
서울,영등포구,부상신고자,명,3,2022,1,month
서울,동작구,사고,건,36,2022,1,month
서울,동작구,사망,명,2,2022,1,month
서울,동작구,부상,명,37,2022,1,month
서울,동작구,중상자,명,9,2022,1,month
서울,동작구,경상자,명,24,2022,1,month
서울,동작구,부상신고자,명,4,2022,1,month
서울,관악구,사고,건,25,2022,1,month
서울,관악구,사망,명,0,2022,1,month
서울,관악구,부상,명,26,2022,1,month
서울,관악구,중상자,명,11,2022,1,month
서울,관악구,경상자,명,13,2022,1,month
서울,관악구,부상신고자,명,2,2022,1,month
서울,강남구,사고,건,73,2022,1,month
서울,강남구,사망,명,0,2022,1,month
서울,강남구,부상,명,76,2022,1,month
서울,강남구,중상자,명,15,2022,1,month
서울,강남구,경상자,명,55,2022,1,month
