sido,sigungu,year,month,경상자,부상,부상신고자,사고,사망,중상자
강원,강릉시,2022,1,4,10,0,10,1,6
강원,강릉시,2022,2,10,12,0,10,0,2
강원,강릉시,2022,3,3,4,0,4,0,1
강원,강릉시,2022,4,6,11,0,11,0,5
강원,강릉시,2022,5,8,15,0,15,0,7
강원,강릉시,2022,6,8,13,0,12,0,5
강원,강릉시,2022,7,13,22,0,22,0,9
강원,강릉시,2022,8,8,14,1,14,0,5
강원,강릉시,2022,9,13,15,0,15,0,2
강원,강릉시,2022,10,9,19,0,19,0,10
강원,강릉시,2022,11,6,19,0,18,2,13
강원,강릉시,2022,12,9,12,0,12,0,3
강원,강릉시,2023,1,9,14,0,15,2,5
강원,강릉시,2023,2,8,12,0,12,0,4
강원,강릉시,2023,3,7,18,0,17,0,11
강원,강릉시,2023,4,4,6,0,7,1,2
강원,강릉시,2023,5,8,16,0,16,0,8
강원,강릉시,2023,6,12,19,0,19,0,7
강원,강릉시,2023,7,5,9,0,9,0,4
강원,강릉시,2023,8,11,19,2,19,0,6
강원,강릉시,2023,9,6,12,0,12,0,6
강원,강릉시,2023,10,6,16,0,17,1,10
강원,강릉시,2023,11,6,11,0,14,3,5
강원,강릉시,2023,12,5,15,0,14,0,10
강원,강릉시,2024,1,8,12,0,12,0,4
강원,강릉시,2024,2,4,9,0,9,0,5
강원,강릉시,2024,3,6,8,0,9,1,2
강원,강릉시,2024,4,4,12,0,12,0,8
강원,강릉시,2024,5,8,11,0,12,1,3
강원,강릉시,2024,6,1,6,0,6,0,5
강원,강릉시,2024,7,3,7,0,7,0,4
강원,강릉시,2024,8,7,18,0,15,0,11
강원,강릉시,2024,9,5,9,0,9,0,4
강원,강릉시,2024,10,8,15,0,14,0,7
강원,강릉시,2024,11,10,15,0,15,0,5
강원,강릉시,2024,12,4,6,0,6,0,2
강원,고성군,2022,1,0,1,0,1,0,1
강원,고성군,2022,2,1,1,0,1,0,0
강원,고성군,2022,3,3,3,0,3,0,0
강원,고성군,2022,4,1,2,0,2,0,1
강원,고성군,2022,5,0,0,0,0,0,0
강원,고성군,2022,6,4,6,0,4,0,2
강원,고성군,2022,7,3,6,0,6,0,3
강원,고성군,2022,8,1,1,0,1,0,0
강원,고성군,2022,9,0,0,0,0,0,0
강원,고성군,2022,10,1,1,0,1,0,0
강원,고성군,2022,11,1,1,0,1,0,0
강원,고성군,2022,12,0,1,0,1,0,1
강원,고성군,2023,1,1,1,0,1,0,0
강원,고성군,2023,2,0,1,0,1,0,1
강원,고성군,2023,3,0,1,0,1,0,1
강원,고성군,2023,4,0,0,0,0,0,0
강원,고성군,2023,5,1,1,0,1,0,0
강원,고성군,2023,6,0,2,0,2,0,2
강원,고성군,2023,7,1,1,0,1,0,0
강원,고성군,2023,8,0,1,0,1,0,1
강원,고성군,2023,9,0,0,0,0,0,0
강원,고성군,2023,10,0,0,0,0,0,0
강원,고성군,2023,11,0,1,0,1,0,1
강원,고성군,2023,12,1,2,0,2,0,1
강원,고성군,2024,1,0,0,0,0,0,0
강원,고성군,2024,2,0,2,1,2,0,1
강원,고성군,2024,3,1,2,0,2,0,1
강원,고성군,2024,4,1,2,0,3,1,1
강원,고성군,2024,5,0,0,0,1,1,0
강원,고성군,2024,6,1,1,0,1,0,0
강원,고성군,2024,7,0,0,0,0,0,0
강원,고성군,2024,8,1,1,0,1,0,0
강원,고성군,2024,9,0,0,0,0,0,0
강원,고성군,2024,10,1,2,1,2,1,0
강원,고성군,2024,11,0,0,0,0,0,0
강원,고성군,2024,12,1,2,0,2,0,1
강원,동해시,2022,1,2,7,0,7,0,5
강원,동해시,2022,2,0,0,0,0,0,0
강원,동해시,2022,3,0,0,0,0,0,0
강원,동해시,2022,4,3,3,0,3,0,0
강원,동해시,2022,5,4,7,0,7,0,3
강원,동해시,2022,6,3,6,0,5,0,3
강원,동해시,2022,7,4,5,1,5,0,0
강원,동해시,2022,8,2,5,0,6,1,3
강원,동해시,2022,9,3,4,0,4,0,1
강원,동해시,2022,10,5,6,0,5,0,1
강원,동해시,2022,11,6,7,0,7,0,1
강원,동해시,2022,12,2,4,0,4,0,2
강원,동해시,2023,1,2,5,0,5,0,3
강원,동해시,2023,2,2,5,1,5,0,2
강원,동해시,2023,3,5,8,0,7,0,3
강원,동해시,2023,4,1,4,0,4,0,3
강원,동해시,2023,5,3,6,0,6,0,3
강원,동해시,2023,6,6,8,0,8,0,2
강원,동해시,2023,7,2,6,1,5,0,3
강원,동해시,2023,8,4,8,0,8,0,4
강원,동해시,2023,9,4,7,0,7,0,3
강원,동해시,2023,10,5,9,0,7,0,4
강원,동해시,2023,11,1,5,0,5,0,4
강원,동해시,2023,12,2,6,0,7,1,4
강원,동해시,2024,1,4,6,0,6,0,2
강원,동해시,2024,2,2,5,0,6,1,3
강원,동해시,2024,3,2,3,0,3,0,1
강원,동해시,2024,4,1,3,0,3,0,2
강원,동해시,2024,5,2,7,0,7,0,5
강원,동해시,2024,6,1,2,0,2,0,1
강원,동해시,2024,7,3,3,0,3,0,0
강원,동해시,2024,8,4,4,0,4,0,0
강원,동해시,2024,9,2,4,0,4,0,2
강원,동해시,2024,10,2,8,0,6,1,6
강원,동해시,2024,11,0,4,1,4,0,3
강원,동해시,2024,12,4,8,1,6,0,3
강원,삼척시,2022,1,2,3,0,3,0,1
강원,삼척시,2022,2,2,3,0,3,0,1
강원,삼척시,2022,3,3,5,0,5,0,2
강원,삼척시,2022,4,2,5,0,5,0,3
강원,삼척시,2022,5,1,2,0,2,0,1
강원,삼척시,2022,6,2,3,0,3,0,1
강원,삼척시,2022,7,3,5,0,5,0,2
강원,삼척시,2022,8,3,5,0,6,1,2
강원,삼척시,2022,9,0,1,0,1,0,1
강원,삼척시,2022,10,1,7,0,7,0,6
강원,삼척시,2022,11,6,9,0,10,2,3
강원,삼척시,2022,12,1,4,0,4,0,3
강원,삼척시,2023,1,2,2,0,2,0,0
강원,삼척시,2023,2,1,2,0,2,0,1
강원,삼척시,2023,3,1,3,0,3,0,2
강원,삼척시,2023,4,0,1,0,1,0,1
강원,삼척시,2023,5,4,8,1,8,0,3
강원,삼척시,2023,6,1,3,0,4,1,2
강원,삼척시,2023,7,0,1,0,1,0,1
강원,삼척시,2023,8,2,3,0,3,0,1
강원,삼척시,2023,9,2,4,0,5,1,2
강원,삼척시,2023,10,3,3,0,4,1,0
강원,삼척시,2023,11,1,2,0,2,0,1
강원,삼척시,2023,12,4,8,0,8,0,4
강원,삼척시,2024,1,0,0,0,0,0,0
강원,삼척시,2024,2,2,2,0,2,0,0
강원,삼척시,2024,3,6,6,0,6,0,0
강원,삼척시,2024,4,1,3,0,3,0,2
강원,삼척시,2024,5,2,5,0,5,0,3
강원,삼척시,2024,6,3,3,0,3,1,0
강원,삼척시,2024,7,1,3,0,3,0,2
강원,삼척시,2024,8,2,6,0,5,0,4
강원,삼척시,2024,9,0,3,0,3,0,3
강원,삼척시,2024,10,3,4,0,4,0,1
강원,삼척시,2024,11,2,6,0,7,1,4
강원,삼척시,2024,12,1,3,0,3,0,2
강원,속초시,2022,1,2,9,0,8,0,7
강원,속초시,2022,2,2,5,0,5,0,3
강원,속초시,2022,3,0,3,0,3,0,3
강원,속초시,2022,4,2,6,1,6,0,3
강원,속초시,2022,5,5,9,1,10,1,3
강원,속초시,2022,6,4,6,0,6,0,2
강원,속초시,2022,7,6,8,0,7,0,2
강원,속초시,2022,8,6,12,0,11,0,6
강원,속초시,2022,9,2,7,0,7,0,5
강원,속초시,2022,10,4,12,0,10,1,8
강원,속초시,2022,11,1,8,0,9,1,7
강원,속초시,2022,12,4,5,0,5,0,1
강원,속초시,2023,1,4,6,0,6,0,2
강원,속초시,2023,2,1,2,0,2,0,1
강원,속초시,2023,3,3,5,1,5,0,1
강원,속초시,2023,4,0,4,0,4,0,4
강원,속초시,2023,5,2,3,0,3,0,1
강원,속초시,2023,6,1,5,0,5,0,4
강원,속초시,2023,7,2,5,0,5,1,3
강원,속초시,2023,8,2,7,0,7,0,5
강원,속초시,2023,9,4,6,0,5,0,2
강원,속초시,2023,10,2,16,0,13,1,14
강원,속초시,2023,11,1,4,0,4,0,3
강원,속초시,2023,12,3,10,0,9,0,7
강원,속초시,2024,1,5,9,0,6,0,4
강원,속초시,2024,2,4,8,0,5,0,4
강원,속초시,2024,3,3,10,0,10,0,7
강원,속초시,2024,4,2,7,0,7,0,5
강원,속초시,2024,5,3,6,0,6,0,3
강원,속초시,2024,6,7,9,0,9,0,2
강원,속초시,2024,7,2,10,0,7,2,8
강원,속초시,2024,8,4,4,0,4,0,0
강원,속초시,2024,9,1,4,0,4,0,3
