sido,sigungu,road_type,road_direction,address,signal_lat,signal_lon,road_shape,main_road,signal_id,signal_type,button,remain_time,sound_signal,org_code
경상남도,거제시,지방도,3,경상남도 거제시 고현동 979-2,34.89026283,128.6243405,2,1,26,2,0,1,0,5370000
경상남도,거제시,지방도,3,경상남도 거제시 고현동 979-2,34.89026283,128.6243405,2,1,27,2,0,1,0,5370000
경상남도,거제시,지방도,3,경상남도 거제시 고현동 29-21,34.88884189,128.6253381,1,1,29,2,0,1,0,5370000
경상남도,거제시,지방도,3,경상남도 거제시 고현동 29-21,34.88884189,128.6253381,1,1,31,2,0,1,0,5370000
경상남도,거제시,지방도,3,경상남도 거제시 거제면 서정리 734-19,34.85020872,128.5856485,2,1,2,2,0,0,0,5370000
경상남도,거제시,지방도,3,경상남도 거제시 거제면 서정리 734-19,34.85020872,128.5856485,2,1,5,2,0,1,0,5370000
경상남도,거제시,지방도,3,경상남도 거제시 거제면 서정리 731-37,34.84951132,128.5864072,2,1,7,2,0,1,0,5370000
경상남도,거제시,지방도,3,경상남도 거제시 거제면 서정리 731-37,34.84951132,128.5864072,2,1,8,2,0,1,0,5370000
경상남도,거제시,지방도,3,경상남도 거제시 거제면 서정리 731-37,34.84951132,128.5864072,2,1,10,2,0,1,0,5370000
경상남도,거제시,지방도,3,경상남도 거제시 거제면 외간리 620-8,34.85900757,128.5757791,2,1,12,2,0,1,0,5370000
경상남도,거제시,지방도,3,경상남도 거제시 거제면 외간리 620-8,34.85900757,128.5757791,2,1,13,2,0,1,0,5370000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 매곡리 1516,36.78815367,127.0825985,2,1,3900,2,0,1,1,4520000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 매곡리 1515,36.78825632,127.0826195,2,1,3901,2,0,1,1,4520000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 매곡리 1516,36.78826506,127.0829242,2,1,3902,2,0,1,1,4520000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 매곡리 1516,36.7883071,127.0830596,2,1,3903,2,0,1,1,4520000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 매곡리 808-8,36.79165784,127.0788468,2,1,3904,2,0,1,1,4520000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 매곡리 808-8,36.79165784,127.0788468,2,1,3905,2,0,1,1,4520000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 매곡리 600-1,36.79177805,127.0791817,2,1,3906,2,0,1,1,4520000
충청남도,아산시,기타,3,충청남도 아산시 탕정면 매곡리 807-7,36.79194734,127.0790412,2,1,3907,2,0,1,1,4520000
경기도,구리시,시도,3,경기도 구리시 갈매동 585,37.62956014,127.1160394,2,0,31120-TL-00861-04,2,0,1,1,3980000
