accident_id,year,district_code,detail,accident_count,casualty_count,fatality_count,serious_injury_count,minor_injury_count,reported_injury_count,accident_lon,accident_lat,hotspot_polygon
6778887,2022,1111017100,성균관대입구교차로 부근,9,10,1,9,0,0,126.9987797,37.58293974,"{""type"":""Polygon"",""coordinates"":[[[126.99967798,37.58293974],[126.99966072,37.58280086],[126.9996096,37.58266731],[126.99952659,37.58254424],[126.99941487,37.58243636],[126.99927874,37.58234783],[126.99912343,37.58228204],[126.99895492,37.58224153],[126.99877966,37.58222785],[126.99860441,37.58224153],[126.99843589,37.58228204],[126.99828059,37.58234783],[126.99814446,37.58243636],[126.99803274,37.58254424],[126.99794973,37.58266731],[126.99789861,37.58280086],[126.99788135,37.58293974],[126.99789861,37.58307863],[126.99794973,37.58321217],[126.99803274,37.58333525],[126.99814446,37.58344312],[126.99828059,37.58353165],[126.99843589,37.58359744],[126.99860441,37.58363795],[126.99877966,37.58365163],[126.99895492,37.58363795],[126.99912343,37.58359744],[126.99927874,37.58353165],[126.99941487,37.58344312],[126.99952659,37.58333525],[126.9996096,37.58321217],[126.99966072,37.58307863],[126.99967798,37.58293974]]]}"
6779548,2022,1111013700,낙원상가 부근,8,8,0,8,0,0,126.9884354,37.57189895,"{""type"":""Polygon"",""coordinates"":[[[126.98933368,37.57189895],[126.98931642,37.57176005],[126.9892653,37.57162648],[126.98918229,37.57150339],[126.98907057,37.57139549],[126.98893444,37.57130695],[126.98877914,37.57124115],[126.98861062,37.57120063],[126.98843537,37.57118695],[126.98826011,37.57120063],[126.98809159,37.57124115],[126.98793629,37.57130695],[126.98780016,37.57139549],[126.98768844,37.57150339],[126.98760543,37.57162648],[126.98755431,37.57176005],[126.98753705,37.57189895],[126.98755431,37.57203785],[126.98760543,37.57217142],[126.98768844,37.57229451],[126.98780016,37.5724024],[126.98793629,37.57249095],[126.98809159,37.57255674],[126.98826011,37.57259726],[126.98843537,37.57261094],[126.98861062,37.57259726],[126.98877914,37.57255674],[126.98893444,37.57249095],[126.98907057,37.5724024],[126.98918229,37.57229451],[126.9892653,37.57217142],[126.98931642,37.57203785],[126.98933368,37.57189895]]]}"
6779517,2022,1111011900,세종로180 부근,7,8,0,8,0,0,126.9768989,37.56986543,"{""type"":""Polygon"",""coordinates"":[[[126.97779718,37.56986543],[126.97777992,37.56972652],[126.9777288,37.56959296],[126.97764579,37.56946986],[126.97753407,37.56936196],[126.97739795,37.56927341],[126.97724264,37.56920761],[126.97707412,37.5691671],[126.97689887,37.56915341],[126.97672362,37.5691671],[126.9765551,37.56920761],[126.97639979,37.56927341],[126.97626366,37.56936196],[126.97615195,37.56946986],[126.97606893,37.56959296],[126.97601781,37.56972652],[126.97600055,37.56986543],[126.97601781,37.57000434],[126.97606893,37.57013791],[126.97615195,37.570261],[126.97626366,37.5703689],[126.97639979,37.57045745],[126.9765551,37.57052324],[126.97672362,37.57056376],[126.97689887,37.57057744],[126.97707412,37.57056376],[126.97724264,37.57052324],[126.97739795,37.57045745],[126.97753407,37.5703689],[126.97764579,37.570261],[126.9777288,37.57013791],[126.97777992,37.57000434],[126.97779718,37.56986543]]]}"
6779511,2022,1111017500,신설동역6번출구 부근,7,8,0,7,1,0,127.0237466,37.57511127,"{""type"":""Polygon"",""coordinates"":[[[127.02464487,37.57511127],[127.02462761,37.57497237],[127.02457649,37.57483881],[127.02449348,37.57471572],[127.02438176,37.57460783],[127.02424563,37.57451929],[127.02409033,37.57445349],[127.02392181,37.57441298],[127.02374656,37.5743993],[127.0235713,37.57441298],[127.02340278,37.57445349],[127.02324748,37.57451929],[127.02311135,37.57460783],[127.02299963,37.57471572],[127.02291662,37.57483881],[127.0228655,37.57497237],[127.02284824,37.57511127],[127.0228655,37.57525016],[127.02291662,37.57538372],[127.02299963,37.57550681],[127.02311135,37.5756147],[127.02324748,37.57570324],[127.02340278,37.57576903],[127.0235713,37.57580955],[127.02374656,37.57582323],[127.02392181,37.57580955],[127.02409033,37.57576903],[127.02424563,37.57570324],[127.02438176,37.5756147],[127.02449348,37.57550681],[127.02457649,37.57538372],[127.02462761,37.57525016],[127.02464487,37.57511127]]]}"
6779131,2022,1111013800,종로2가교차로 부근,7,8,0,7,0,1,126.9873153,37.5700914,"{""type"":""Polygon"",""coordinates"":[[[126.98821365,37.5700914],[126.98819639,37.56995249],[126.98814527,37.56981892],[126.98806225,37.56969582],[126.98795054,37.56958793],[126.98781441,37.56949938],[126.9876591,37.56943358],[126.98749058,37.56939306],[126.98731533,37.56937938],[126.98714008,37.56939306],[126.98697156,37.56943358],[126.98681626,37.56949938],[126.98668013,37.56958793],[126.98656841,37.56969582],[126.9864854,37.56981892],[126.98643428,37.56995249],[126.98641702,37.5700914],[126.98643428,37.5702303],[126.9864854,37.57036387],[126.98656841,37.57048697],[126.98668013,37.57059487],[126.98681626,37.57068341],[126.98697156,37.57074921],[126.98714008,37.57078973],[126.98731533,37.57080341],[126.98749058,37.57078973],[126.9876591,37.57074921],[126.98781441,37.57068341],[126.98795054,37.57059487],[126.98806225,37.57048697],[126.98814527,37.57036387],[126.98819639,37.5702303],[126.98821365,37.5700914]]]}"
6779066,2022,1111017500,신설동역11번출구 부근,7,7,0,7,0,0,127.0214863,37.57438105,"{""type"":""Polygon"",""coordinates"":[[[127.02238459,37.57438105],[127.02236733,37.57424215],[127.02231621,37.57410859],[127.0222332,37.5739855],[127.02212148,37.57387761],[127.02198536,37.57378906],[127.02183005,37.57372327],[127.02166153,37.57368275],[127.02148628,37.57366907],[127.02131103,37.57368275],[127.02114251,37.57372327],[127.0209872,37.57378906],[127.02085107,37.57387761],[127.02073936,37.5739855],[127.02065634,37.57410859],[127.02060522,37.57424215],[127.02058796,37.57438105],[127.02060522,37.57451995],[127.02065634,37.57465351],[127.02073936,37.5747766],[127.02085107,37.57488449],[127.0209872,37.57497303],[127.02114251,37.57503882],[127.02131103,37.57507934],[127.02148628,37.57509302],[127.02166153,37.57507934],[127.02183005,37.57503882],[127.02198536,37.57497303],[127.02212148,37.57488449],[127.0222332,37.5747766],[127.02231621,37.57465351],[127.02236733,37.57451995],[127.02238459,37.57438105]]]}"
6778909,2022,1114017400,용산구마포구 부근,9,9,1,8,0,0,126.9625355,37.5515937,"{""type"":""Polygon"",""coordinates"":[[[126.96343384,37.5515937],[126.96341658,37.55145476],[126.96336546,37.55132116],[126.96328244,37.55119803],[126.96317073,37.55109011],[126.9630346,37.55100154],[126.96287929,37.55093572],[126.96271077,37.5508952],[126.96253552,37.55088151],[126.96236027,37.5508952],[126.96219175,37.55093572],[126.96203644,37.55100154],[126.96190032,37.55109011],[126.9617886,37.55119803],[126.96170559,37.55132116],[126.96165447,37.55145476],[126.96163721,37.5515937],[126.96165447,37.55173264],[126.96170559,37.55186625],[126.9617886,37.55198937],[126.96190032,37.55209729],[126.96203644,37.55218586],[126.96219175,37.55225168],[126.96236027,37.5522922],[126.96253552,37.55230589],[126.96271077,37.5522922],[126.96287929,37.55225168],[126.9630346,37.55218586],[126.96317073,37.55209729],[126.96328244,37.55198937],[126.96336546,37.55186625],[126.96341658,37.55173264],[126.96343384,37.5515937]]]}"
6778923,2022,1114011800,서울역91번출구 부근,8,10,0,9,0,1,126.9724737,37.55506365,"{""type"":""Polygon"",""coordinates"":[[[126.97337199,37.55506365],[126.97335473,37.55492471],[126.97330361,37.55479112],[126.9732206,37.55466799],[126.97310888,37.55456007],[126.97297276,37.55447151],[126.97281745,37.5544057],[126.97264893,37.55436517],[126.97247368,37.55435149],[126.97229843,37.55436517],[126.97212991,37.5544057],[126.9719746,37.55447151],[126.97183847,37.55456007],[126.97172676,37.55466799],[126.97164374,37.55479112],[126.97159262,37.55492471],[126.97157536,37.55506365],[126.97159262,37.55520258],[126.97164374,37.55533618],[126.97172676,37.5554593],[126.97183847,37.55556721],[126.9719746,37.55565578],[126.97212991,37.55572159],[126.97229843,37.55576211],[126.97247368,37.5557758],[126.97264893,37.55576211],[126.97281745,37.55572159],[126.97297276,37.55565578],[126.97310888,37.55556721],[126.9732206,37.5554593],[126.97330361,37.55533618],[126.97335473,37.55520258],[126.97337199,37.55506365]]]}"
6779094,2022,1114016200,약수역앞교차로 부근,8,9,0,9,0,0,127.0105158,37.55486695,"{""type"":""Polygon"",""coordinates"":[[[127.01141416,37.55486695],[127.0113969,37.55472801],[127.01134578,37.55459442],[127.01126277,37.55447129],[127.01115105,37.55436338],[127.01101492,37.55427481],[127.01085962,37.554209],[127.0106911,37.55416847],[127.01051585,37.55415479],[127.01034059,37.55416847],[127.01017208,37.554209],[127.01001677,37.55427481],[127.00988064,37.55436338],[127.00976893,37.55447129],[127.00968591,37.55459442],[127.00963479,37.55472801],[127.00961753,37.55486695],[127.00963479,37.55500588],[127.00968591,37.55513948],[127.00976893,37.5552626],[127.00988064,37.55537052],[127.01001677,37.55545908],[127.01017208,37.55552489],[127.01034059,37.55556542],[127.01051585,37.5555791],[127.0106911,37.55556542],[127.01085962,37.55552489],[127.01101492,37.55545908],[127.01115105,37.55537052],[127.01126277,37.5552626],[127.01134578,37.55513948],[127.0113969,37.55500588],[127.01141416,37.55486695]]]}"
6779002,2022,1114016500,신당역서울6호선 부근,8,8,0,8,0,0,127.0181447,37.56571452,"{""type"":""Polygon"",""coordinates"":[[[127.01904304,37.56571452],[127.01902578,37.5655756],[127.01897466,37.56544203],[127.01889165,37.56531892],[127.01877993,37.56521102],[127.01864381,37.56512247],[127.0184885,37.56505666],[127.01831998,37.56501614],[127.01814473,37.56500246],[127.01796948,37.56501614],[127.01780096,37.56505666],[127.01764565,37.56512247],[127.01750952,37.56521102],[127.01739781,37.56531892],[127.01731479,37.56544203],[127.01726367,37.5655756],[127.01724641,37.56571452],[127.01726367,37.56585343],[127.01731479,37.56598701],[127.01739781,37.56611011],[127.01750952,37.56621801],[127.01764565,37.56630657],[127.01780096,37.56637237],[127.01796948,37.56641289],[127.01814473,37.56642657],[127.01831998,37.56641289],[127.0184885,37.56637237],[127.01864381,37.56630657],[127.01877993,37.56621801],[127.01889165,37.56611011],[127.01897466,37.56598701],[127.01902578,37.56585343],[127.01904304,37.56571452]]]}"
