crosswalk_id,signal_id,distance_m,confidence,sido,sigungu
1356,33,4.41,0.852996,대전광역시,대덕구
1356,29,4.884,0.837199,대전광역시,대덕구
1370,33,24.628,0.179074,대전광역시,대덕구
1370,29,28.859,0.038045,대전광역시,대덕구
1371,1535,13.95,0.53499,대전광역시,대덕구
1371,1534,14.002,0.533277,대전광역시,대덕구
1372,1579,16.346,0.455147,대전광역시,대덕구
1372,1555,17.279,0.424022,대전광역시,대덕구
31270-CW-00571,31270-TL-01343-01,23.842,0.205274,경기도,포천시
31270-CW-00571,31270-TL-00939-04,29.928,0.002415,경기도,포천시
31270-CW-00574,31270-TL-00491-04,7.432,0.752254,경기도,포천시
31270-CW-00574,31270-TL-00490-03,12.799,0.573374,경기도,포천시
31270-CW-00576,31270-TL-00486-03,22.234,0.258853,경기도,포천시
31270-CW-00578,31270-TL-00486-03,5.431,0.818971,경기도,포천시
31270-CW-00566,31270-TL-01344-01,5.457,0.818087,경기도,포천시
D00686,950031,6.634,0.778868,강원특별자치도,동해시
D00686,950028,10.299,0.656715,강원특별자치도,동해시
31270-CW-00475,31270-TL-00992-04,20.705,0.309843,경기도,포천시
31270-CW-00475,31270-TL-00991-05,27.913,0.069565,경기도,포천시
31270-CW-00485,31270-TL-01347-02,4.544,0.848534,경기도,포천시
31270-CW-00485,31270-TL-00959-03,11.521,0.615965,경기도,포천시
31270-CW-00487,31270-TL-00965-02,14.782,0.50728,경기도,포천시
31270-CW-00487,31270-TL-00959-03,19.993,0.333568,경기도,포천시
31270-CW-00415,31270-TL-00649-04,16.127,0.462449,경기도,포천시
31270-CW-00415,31270-TL-00648-01,28.592,0.046949,경기도,포천시
D00640,900048,10.581,0.647298,강원특별자치도,동해시
D00640,900046,16.357,0.454767,강원특별자치도,동해시
D00657,930207,5.201,0.826628,강원특별자치도,동해시
D00657,930206,5.201,0.826628,강원특별자치도,동해시
D00658,930207,16.366,0.454461,강원특별자치도,동해시
D00658,930206,16.366,0.454461,강원특별자치도,동해시
D00660,900012,28.146,0.06179,강원특별자치도,동해시
봉곡남로25길-1,봉곡남로25길-1,20.851,0.304952,경상북도,구미시
